Row_Names,Letter,Sample_Number,Metadata_Info
L1,L,1,Emma2_DCPET_ARW_R1
L2,L,2,Emma2_DCPET_ARW_R2
L3,L,3,Emma2_DCPET_ARW_R3
L4,L,4,Laura1_DCPET_ARW_R1
L5,L,5,Laura1_DCPET_ARW_R2
L6,L,6,Laura1_DCPET_ARW_R3
L7,L,7,Laura2_DCPET_ARW_R1
L8,L,8,Laura2_DCPET_ARW_R2
L9,L,9,Laura2_DCPET_ARW_R3
L19,L,19,Emma2_DCPET_BH_R1
L20,L,20,Emma2_DCPET_BH_R2
L21,L,21,Emma2_DCPET_BH_R3
L22,L,22,Laura1_DCPET_BH_R1
L23,L,23,Laura1_DCPET_BH_R2
L24,L,24,Laura1_DCPET_BH_R3
L25,L,25,Laura2_DCPET_BH_R1
L26,L,26,Laura2_DCPET_BH_R2
L27,L,27,Laura2_DCPET_BH_R3
L37,L,37,Emma2_DCPET_AMW_R1
L38,L,38,Emma2_DCPET_AMW_R2
L39,L,39,Emma2_DCPET_AMW_R3
L40,L,40,Laura1_DCPET_AMW_R1
L41,L,41,Laura1_DCPET_AMW_R2
L42,L,42,Laura1_DCPET_AMW_R3
L43,L,43,Laura2_DCPET_AMW_R1
L44,L,44,Laura2_DCPET_AMW_R2
L45,L,45,Laura2_DCPET_AMW_R3
L67,L,67,Emma2_TPA_BH_R1
L68,L,68,Emma2_TPA_BH_R2
L70,L,70,Laura1_TPA_BH_R1
L71,L,71,Laura1_TPA_BH_R2
L72,L,72,Laura1_TPA_BH_R3
L75,L,75,Laura2_TPA_BH_R3